📘 Bài 1
方（かた）	người (lịch sự)
ケース	hộp
忘れ物（わすれもの）	đồ bỏ quên
鍵（かぎ）	chìa khóa
辺（へん）	khu vực
途中（とちゅう）	giữa đường
カード	thẻ
銀行（ぎんこう）	ngân hàng
革（かわ）	da
教科書（きょうかしょ）	sách giáo khoa
警官（けいかん）	cảnh sát
ハート	trái tim
ピンク	màu hồng
星（ほし）	ngôi sao
緑（みどり）	xanh lá
横長（よこなが）	hình ngang dài
色（いろ）	màu
大きさ（おおきさ）	kích thước
形（かたち）	hình dạng
預かる（あずかる）	giữ hộ
落とす（おとす）	làm rơi
なくなる	mất
乗り過ごす（のりすごす）	đi quá
間違える（まちがえる）	nhầm
迷う（まよう）	lạc
転ぶ（ころぶ）	ngã
心配する（しんぱいする）	lo lắng
気がつく（きがつく）	nhận ra
付く（つく）	kèm theo
見つかる（みつかる）	tìm thấy
出る（でる）	ra
乗り換える（のりかえる）	chuyển tàu
連絡する（れんらくする）	liên lạc
困る（こまる）	rắc rối
さっき	lúc nãy
しばらく	một lúc
全部で（ぜんぶで）	tổng cộng
急に（きゅうに）	đột nhiên
確かに（たしかに）	chắc chắn
どうしよう	làm sao đây
コインロッカー	tủ khóa xu
特急（とっきゅう）	tàu nhanh
終点（しゅうでん）	bến cuối
終電（しゅうでん）	tàu cuối
タクシー	taxi
急行（きゅうこう）	tàu nhanh
アナウンスする	thông báo
変える（かえる）	thay đổi
安心する（あんしんする）	yên tâm
遅刻する（ちこくする）	trễ
寝坊する（ねぼうする）	ngủ quên
戻る（もどる）	trở lại
すぐ	ngay
びっくり	bất ngờ
本当に（ほんとうに）	thật sự
ゆっくり	chậm rãi
📘 Bài 6
カニ	cua
着物（きもの）	kimono
ショッピングセンター	trung tâm mua sắm
水族館（すいぞくかん）	thủy cung
スノーボード	ván trượt tuyết
船（ふね）	thuyền
雰囲気（ふんいき）	bầu không khí
街（まち）	thị trấn
市内（しない）	trong thành phố
最後（さいご）	cuối cùng
旅館（りょかん）	nhà trọ kiểu Nhật
朝食（ちょうしょく）	bữa sáng
夕食（ゆうしょく）	bữa tối
観光地（かんこうち）	điểm du lịch
登山（とざん）	leo núi
虫（むし）	côn trùng
宿泊（しゅくはく）	lưu trú
代金（だいきん）	chi phí
内容（ないよう）	nội dung
値段（ねだん）	giá
大人（おとな）	người lớn
待ち合わせる（まちあわせる）	hẹn gặp
ガイドする	hướng dẫn
観光する（かんこうする）	tham quan
出発する（しゅっぱつする）	khởi hành
キャンプする	cắm trại
珍しい（めずらしい）	hiếm
伝統的（でんとうてき）	truyền thống
どっち	cái nào
イルカ	cá heo
ショー	show
手袋（てぶくろ）	găng tay
マフラー	khăn quàng
年末（ねんまつ）	cuối năm
ガイドブック	sách hướng dẫn
パーク	công viên
早割（はやわり）	giảm sớm
取る（とる）	lấy
ぬれる	bị ướt
用意する（よういする）	chuẩn bị
伝える（つたえる）	truyền đạt
コピーする	sao chép
お願いします	làm ơn
📘 Bài 7
会議（かいぎ）	hội nghị
課長（かちょう）	trưởng phòng
社長（しゃちょう）	giám đốc
ご存じ（ごぞんじ）	biết
どなた	vị nào
ミステリー	trinh thám
出身（しゅっしん）	xuất thân
いらっしゃる	đến (kính ngữ)
おっしゃる	nói (kính ngữ)
ご覧になる（ごらんになる）	xem (kính ngữ)
なさる	làm (kính ngữ)
召し上がる（めしあがる）	ăn (kính ngữ)
出席する（しゅっせきする）	tham dự
退院する（たいいんする）	xuất viện
皮（かわ）	vỏ
キャベツ	bắp cải
ジャガイモ	khoai tây
大根（だいこん）	củ cải
タマネギ	hành tây
ニンジン	cà rốt
ネギ	hành lá
半分（はんぶん）	một nửa
カップ	cốc
クリーム	kem
ゼリー	thạch
パスタ	mì ý
はちみつ	mật ong
みそ汁（みそしる）	can
火（ひ）	lửa
強火（つよび）	lửa lớn
弱火（よわび）	lửa nhỏ
できあがり	hoàn thành
むく	gọt
焼く（やく）	nướng
沸かす（わかす）	đun sôi
冷やす（ひやす）	làm lạnh
煮る（にる）	ninh
ゆでる	luộc
変わる（かわる）	thay đổi
沸騰する（ふっとうする）	sôi
炒める（いためる）	xào
厚い（あつい）	dày
薄い（うすい）	mỏng
濃い（こい）	đậm
細かい（こまかい）	nhỏ
細い（ほそい）	mảnh
弱い（よわい）	yếu
まず	trước tiên
次に（つぎに）	tiếp theo
最後に（さいごに）	cuối cùng
📘 Bài 8
団子（だんご）	dango
肉じゃが（にくじゃが）	thịt kho khoai
湖（みずうみ）	hồ
運転手（うんてんしゅ）	tài xế
駅員（えきいん）	nhân viên ga
お巡りさん（おまわりさん）	cảnh sát
送る（おくる）	tiễn
直す（なおす）	sửa
譲る（ゆずる）	nhường
連れて行く（つれていく）	dẫn đi
教える（おしえる）	dạy
拾う（ひろう）	nhặt
届ける（とどける）	gửi
迎えに来る（むかえにくる）	đón
捕る（とる）	bắt
そんなに	đến mức vậy
花瓶（かびん）	lọ hoa
茶碗（ちゃわん）	bát
机（つくえ）	bàn
本棚（ほんだな）	kệ sách
近所（きんじょ）	hàng xóm
教授（きょうじゅ）	giáo sư
部長（ぶちょう）	trưởng phòng
資料（しりょう）	tài liệu
いただく	nhận
くださる	cho
どういたしまして	không có gì
📘 Bài 9
レストラン	nhà hàng
メニュー	thực đơn
店員（てんいん）	nhân viên
客（きゃく）	khách
予約（よやく）	đặt trước
席（せき）	chỗ ngồi
注文（ちゅうもん）	gọi món
料理（りょうり）	món ăn
味（あじ）	mùi vị
サービス	dịch vụ
運ぶ（はこぶ）	mang
下げる（さげる）	dọn xuống
案内する（あんないする）	dẫn
待つ（まつ）	chờ
混む（こむ）	đông
すぐに	ngay lập tức
少し（すこし）	một chút
もう一度（もういちど）	lần nữa
📘 Bài 10
おばあさん	bà
おじいさん	ông
赤ちゃん（あかちゃん）	em bé
蚊（か）	muỗi
係（かかり）	người phụ trách
口紅（くちべに）	son
泥棒（どろぼう）	kẻ trộm
商品（しょうひん）	hàng hóa
誘う（さそう）	mời
叱る（しかる）	mắng
頼む（たのむ）	nhờ
違う（ちがう）	khác
踏む（ふむ）	dẫm
褒める（ほめる）	khen
配る（くばる）	phát
ぶつかる	va vào
注意する（ちゅういする）	chú ý
会場（かいじょう）	hội trường
屋根（やね）	mái nhà
鏡（かがみ）	gương
世界（せかい）	thế giới
博物館（はくぶつかん）	bảo tàng
向かう（むかう）	hướng đến
逃げる（にげる）	chạy trốn
生きる（いきる）	sống
生まれる（うまれる）	sinh ra
建てる（たてる）	xây
発見する（はっけんする）	phát hiện
発明する（はつめいする）	phát minh
📘 Bài 11
彼（かれ）	anh ấy
彼女（かのじょ）	cô ấy
興味（きょうみ）	hứng thú
ボランティア	tình nguyện
物価（ぶっか）	giá cả
敬語（けいご）	kính ngữ
文化（ぶんか）	văn hóa
違い（ちがい）	sự khác
節約する（せつやくする）	tiết kiệm
外食する（がいしょくする）	ăn ngoài
太る（ふとる）	béo lên
故障する（こしょうする）	hỏng
学ぶ（まなぶ）	học
育てる（そだてる）	nuôi dạy
研究する（けんきゅうする）	nghiên cứu
あんまり	không lắm
だいたい	đại khái
出張する（しゅっちょうする）	công tác
投げる（なげる）	ném
あきらめる	từ bỏ
📘 Bài 12
おにぎり	cơm nắm
元気（げんき）	khỏe
胃（い）	dạ dày
痛み（いたみ）	cơn đau
疲れ（つかれ）	mệt
湿布（しっぷ）	miếng dán
うがい	súc miệng
ジム	phòng gym
酔う（よう）	say
取れる（とれる）	lấy được
入会する（にゅうかいする）	tham gia
肩（かた）	vai
首（くび）	cổ
ストレス	căng thẳng
虫歯（むしば）	răng sâu
方法（ほうほう）	phương pháp
健康（けんこう）	sức khỏe
栄養（えいよう）	dinh dưỡng
測る（はかる）	đo
やせる	gầy
眠る（ねむる）	ngủ
冷える（ひえる）	lạnh
このごろ	dạo này
📘 Bài 13
親（おや）	bố mẹ
父親（ちちおや）	bố
母親（ははおや）	mẹ
子ども	trẻ em
家事（かじ）	việc nhà
塾（じゅく）	học thêm
数学（すうがく）	toán
騒ぐ（さわぐ）	ồn ào
世話する（せわする）	chăm sóc
この間（このあいだ）	hôm trước
必ず（かならず）	chắc chắn
やっぱり	quả nhiên
海外（かいがい）	nước ngoài
教育（きょういく）	giáo dục
けんかする	cãi nhau
泣く（なく）	khóc
残す（のこす）	để lại
厳しい（きびしい）	nghiêm khắc
熱心（ねっしん）	nhiệt tình
📘 Bài 14
行事（ぎょうじ）	sự kiện
正月（しょうがつ）	tết
新年（しんねん）	năm mới
成人式（せいじんしき）	lễ trưởng thành
年賀状（ねんがじょう）	thiệp năm mới
大晦日（おおみそか）	giao thừa
豆（まめ）	đậu
冬至（とうじ）	đông chí
お盆（おぼん）	lễ Obon
餃子（ぎょうざ）	gyoza
焼き鳥（やきとり）	gà nướng
大勢（おおぜい）	đông người
祈る（いのる）	cầu nguyện
祝う（いわう）	chúc mừng
包む（つつむ）	gói
成長する（せいちょうする）	trưởng thành
感謝する（かんしゃする）	cảm ơn
飾る（かざる）	trang trí
踊る（おどる）	nhảy
📘 Bài 15
原因（げんいん）	nguyên nhân
食料品（しょくりょうひん）	thực phẩm
増加する（ぞうかする）	tăng
問題（もんだい）	vấn đề
貿易（ぼうえき）	thương mại
事情（じじょう）	tình hình
女性（じょせい）	phụ nữ
男性（だんせい）	nam giới
地球（ちきゅう）	trái đất
直接（ちょくせつ）	trực tiếp
輸入する（ゆにゅうする）	nhập khẩu
理由（りゆう）	lý do
グラフ	biểu đồ
下がる（さがる）	giảm
飼う（かう）	nuôi
咲く（さく）	nở
発表する（はっけんする）	trình bày
来日する（らいにちする）	đến Nhật
流行する（りゅうこうする）	thịnh hành
過ごす（すごす）	trải qua
比べる（くらべる）	so sánh
汚い（きたない）	bẩn
ほとんど	hầu hết
危険（きけん）	nguy hiểm
どんどん	dần dần
～によると	theo như
